Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 31",Октябрьский район,2,51.4,3,балкон,2.7,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,5,NaN,2013,24 марта в 17:18,7000000
"Республика Бурятия, Улан-Удэ, мкр-н Кирзавод, Кирпичная ул., 1",Железнодорожный район,1,21.9,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1979,27 марта в 16:56,3200000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42Бк2",Октябрьский район,1,38.7,7,балкон,2.7,совмещенный,на солнечную сторону,евро,NaN,монолитный,16,1,2021,30 марта в 11:44,8100000
"Республика Бурятия, Улан-Удэ, ул. Пугачёва, 29",Октябрьский район,2,42,1,NaN,2.8,раздельный,"на улицу, на солнечную сторону",косметический,возможна ипотека,блочный,2,NaN,1967,30 марта в 11:43,3800000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 12",Железнодорожный район,3,57.7,5,балкон,2.5,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,NaN,1961,26 марта в 10:49,6899999
"Республика Бурятия, Улан-Удэ, 105-й мкр-н",Октябрьский район,3,63.9,3,балкон,2.8,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,5,0,NaN,2 апреля в 09:45,6776580
"Республика Бурятия, Улан-Удэ, Ключевская ул., 4В",Октябрьский район,3,93,13,балкон,3 м,совмещенный,на улицу,требует ремонта,возможна ипотека,кирпичный,16,1,2014,25 марта в 14:24,10850000
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 4",Октябрьский район,2,63.4,9,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,12,1,2024,2 апреля в 12:03,6100000
"ул. Ключевская, Блок 3",Октябрьский район,3,85,12,"балкон, лоджия",NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,NaN,монолитный,12,1,NaN,1 апреля в 12:16,7950000
"Республика Бурятия, Улан-Удэ, ул. Чертенкова, 49",Железнодорожный район,2,53,5,балкон,NaN,раздельный,на улицу,косметический,возможна ипотека,кирпичный,5,NaN,NaN,29 марта в 17:55,7100000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 22",Советский район,2,48,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,0,1987,31 марта в 14:12,5900000
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 28",Советский район,2,50.5,4,балкон,NaN,раздельный,NaN,евро,возможна ипотека,кирпичный,5,NaN,NaN,26 марта в 10:49,4999000
"Республика Бурятия, Улан-Удэ, мкр-н Зелёный, 1",Железнодорожный район,3,60.1,5,балкон,NaN,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,5,0,1993,25 марта в 14:41,6800000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 23",Октябрьский район,1,33.5,2,лоджия,2.7,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,5,NaN,2013,25 марта в 18:03,4660000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 69",Советский район,2,53,1,NaN,2 м,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1976,4 апреля в 13:10,8470000
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 29",Советский район,2,49,5,балкон,NaN,раздельный,NaN,косметический,NaN,кирпичный,5,0,1990,1 апреля в 16:26,4700000
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 5",Железнодорожный район,2,33.6,2,NaN,2.8,"совмещенный, раздельный","во двор, на улицу",косметический,возможна ипотека,деревянный,2,0,NaN,28 марта в 15:00,2250000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42Бк1",Октябрьский район,2,51.2,14,балкон,NaN,раздельный,NaN,дизайнерский,возможна ипотека,кирпичный,16,1,NaN,12 марта в 21:38,9600000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 67",Октябрьский район,2,49,3,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,0,1982,22 марта в 10:32,5600000
